Number of nodes 316 
   173 :  2.6267041e-01  3.2825384e-01 
   174 :  1.6024442e+00  1.6828663e-02 
   175 : -5.1428887e-01 -7.0968915e-03 
   176 :  4.5146005e-01  3.1203659e-01 
   177 : -1.1640431e+00  3.3794700e-01 
   178 : -6.5592540e-01  1.1007039e-01 
   179 : -6.7575115e-01  1.7364830e-02 
   180 : -1.7227234e+00  1.0143158e-01 
   181 : -1.0542580e+00  3.4134191e-01 
   182 : -1.7194025e+00  4.0188626e-03 
   183 :  5.5144772e-01  2.6774807e-01 
   184 :  5.3725977e-01  1.5609362e-01 
   185 :  6.2598642e-01  1.9288299e-01 
   186 :  6.1566132e-01  9.5069079e-02 
   187 :  7.0602725e-01  1.3461986e-01 
   188 :  1.1809487e+00  1.9003376e-01 
   189 :  1.0939029e+00  1.4744927e-01 
   190 : -9.4656676e-01  3.1935587e-01 
   191 : -1.7154340e+00 -9.5737043e-02 
   192 :  7.3421007e-01  2.3956101e-01 
   193 :  8.0819345e-01  1.5657800e-01 
   194 :  7.0046571e-01  3.6615155e-02 
   195 : -1.7256541e+00  1.9241378e-01 
   196 : -1.8112395e+00  7.6705089e-02 
   197 :  1.0915126e+00  5.1551247e-02 
   198 :  1.0054568e+00  9.5056819e-02 
   199 :  9.2086104e-01  5.2795988e-02 
   200 :  9.1300195e-01  1.5124065e-01 
   201 : -3.2662652e-01  4.7054605e-02 
   202 :  3.6344817e-01  3.6913190e-01 
   203 : -7.7201615e-01  3.2856253e-01 
   204 : -6.7878074e-01  3.0573189e-01 
   205 : -1.5608012e+00 -1.4223415e-01 
   206 : -7.7586645e-01 -1.2613812e-02 
   207 : -6.8744033e-01 -7.1812623e-02 
   208 :  6.0885643e-01  6.2133100e-04 
   209 : -1.5841850e+00  2.8121975e-01 
   210 : -1.7983902e-01 -9.8544884e-02 
   211 :  1.7502948e+00  5.5288698e-02 
   212 : -2.7617524e-01 -1.0908887e-01 
   213 : -1.1777191e+00 -1.6685655e-01 
   214 : -2.2791522e-01  3.5187450e-01 
   215 :  1.5607307e+00  1.1783642e-01 
   216 : -1.2572536e-01  4.4580227e-01 
   217 :  2.0369267e-01  4.0723439e-01 
   218 : -8.6319387e-01  3.6517803e-01 
   219 :  4.0132925e-01 -6.5534672e-02 
   220 :  2.0567754e-01 -8.0617032e-02 
